cause,fire_count,total_acres,avg_size
Debris Burning,429028,5975792.711603,13.9286776424919
Miscellaneous,323805,14394204.201986,44.4533104862062
Arson,281455,9487274.15997,33.7079609883285
Lightning,278468,87033501.016669,312.543994342865
Missing/Undefined,166723,8751725.491537,52.4926104468909
Equipment Use,147612,6799046.36647,46.0602550366501
Campfire,76139,3429061.461,45.0368597039625
Children,61167,469830.28807,7.68110726486504
Smoking,52869,842660.5222,15.9386506686338
Railroad,33455,849613.77018,25.3957187320281
Powerline,14448,1609442.859,111.395546719269
Fireworks,11500,318207.313,27.6702011304348
Structure,3796,172189.391,45.3607457850369
